Date,Website,Title,URL,Author
2025-12-29T06:46:02Z,KTLA,Altadena homeowner threatens to sue over bear that won't leave his home,https://ktla.com/news/local-news/altadena-homeowner-threatens-to-sue-over-bear-that-wont-leave/,Jillian Smukler & Marc Sternfield
2025-12-30T21:30:14Z,Democracy Docket,'It's A Top Priority': Unsealed Order Suggests DOJ Retaliated Against Abrego Garcia for Court Victory,https://www.democracydocket.com/news-alerts/trump-doj-retaliation-kilmar-abrego-garcia-court-order-reveals/,Jacob Knutson
2025-12-31T00:09:52Z,The New York Times,"Justice Dept. Leaders Pushed to Charge Abrego Garcia, Emails Show",https://www.nytimes.com/2025/12/30/nyregion/abrego-garcia-charges-doj.html,Alan Feuer
2025-12-30T20:09:08Z,CNN,"Top DOJ officials may have been pressing to bring criminal charges against Kilmar Abrego Garcia, judge says",https://www.cnn.com/2025/12/30/politics/kilmar-abrego-garcia-blanche-justice-department-kentucky,Devan Cole
2025-12-30T23:29:18Z,ABC News,Judge says documents suggest top DOJ officials may have pushed to prosecute Kilmar Abrego Garcia after wrongful deportation,https://abcnews.go.com/Politics/judge-documents-suggest-top-doj-officials-pushed-prosecute/story?id=128792629,Laura Romero
2025-12-31T01:32:30Z,ABC News,"SNAP bans on soda, candy and other foods take effect in five states Jan. 1",https://abcnews.go.com/Politics/wireStory/snap-bans-soda-candy-foods-effect-states-jan-128784918,JoNel Aleccia
2025-12-30T19:21:00Z,king5.com,"Highway 2 to reopen between Skykomish, Stevens Pass on Sunday",https://www.king5.com/article/traffic/traffic-news/highway-2-to-reopen-between-skykomish-stevens-pass-on-sunday/281-e2543c5b-b668-436e-bf33-c7c54ead452e,Stella Sun
2025-12-30T02:29:51Z,KOMO,Stevens Pass reopens with limited access as Highway 2 still undergoes repairs from floods,https://komonews.com/news/local/stevens-pass-delays-ski-resort-washington-state-department-of-transportation-wsdot-coles-corner-summit-highway-2-mudslides-fallen-trees-road-collapses,Stella Sun
2025-12-27T16:46:47Z,The Seattle Times,Stevens Pass ski area sets opening date - but it won't be easy to get there,https://www.seattletimes.com/life/outdoors/stevens-pass-sets-ski-season-opening-date-with-100-mile-detour-from-seattle/,Gregory Scruggs
2025-12-29T23:37:10Z,FOX 13 Seattle,"US-2 partially reopens near Stevens Pass, restoring access to WA ski resort",https://www.fox13seattle.com/news/highway-2-reopens-stevens-pass,Jim Jensen
2025-12-30T16:50:00Z,The Guardian,Suspected DC pipe bomber appears at detention hearing after alleged confession,https://www.theguardian.com/us-news/2025/dec/30/dc-pipe-bombing-suspect-confession-hearing,Shrai Popat
2025-12-29T00:44:11Z,ABC News,Alleged Jan. 6 pipe bomber said he wasn't targeting Congress' certification of Biden's victory: DOJ,https://abcnews.go.com/Politics/alleged-jan-6-pipe-bomber-targeting-congress-certification/story?id=128738143,Alexander Mallin
2025-12-28T23:08:58Z,Politico,Justice Department says Jan. 6 pipe bomb suspect believed election conspiracy theories,https://www.politico.com/news/2025/12/28/pipe-bomb-justice-department-jan-6-suspect-00707242,Jacob Wendler
2025-12-29T00:55:50Z,FOX 5 DC,"Alleged Jan. 6 pipe bomber reset phone 943 times before arrest, court docs say",https://www.fox5dc.com/news/alleged-jan-6-pipe-bomber-reset-phone-943-times-before-arrest-court-docs-say,Isabel Soisson


